cluster_id,size,template
1,102325,START RequestId: <RID> Version: $LATEST
2,95402,"[INFO] <TS> <RID> {""route"": <*> <*> ""status"": <*> ""latency_ms"": <FLOAT>, ""cold_start"": <*> ""error_type"": null, ""memory_mb"": <*> ""downstream_ms"": <FLOAT>}"
3,102325,END RequestId: <RID>
4,1030,REPORT RequestId: <RID> Duration: <FLOAT> ms Billed Duration: <*> ms Memory Size: <*> MB Max Memory Used: <*> MB Init Duration: <FLOAT> ms
5,100308,REPORT RequestId: <RID> Duration: <FLOAT> ms Billed Duration: <*> ms Memory Size: <*> MB Max Memory Used: <*> MB
6,432,<TS> <RID> Task timed out after <FLOAT> seconds
7,391,REPORT RequestId: <RID> Duration: <FLOAT> ms Billed Duration: <INT> ms Memory Size: 256 MB Max Memory Used: <*> MB Status: timeout
8,1442,"[ERROR] <TS> <RID> {""route"": <*> <*> ""status"": 504, ""latency_ms"": <FLOAT>, ""cold_start"": <*> ""error_type"": ""DownstreamTimeout"", ""memory_mb"": 256, ""downstream_ms"": <FLOAT>, ""error"": ""Read timeout on endpoint URL: \""https://dynamodb.eu-west-1.amazonaws.com/\""""}"
9,1615,"[ERROR] <TS> <RID> {""route"": ""POST /orders"", ""status"": 500, ""latency_ms"": <FLOAT>, ""cold_start"": <*> ""error_type"": ""AccessDeniedException"", ""memory_mb"": 256, ""downstream_ms"": <FLOAT>, ""error"": ""An error occurred (AccessDeniedException) when calling the PutItem operation: User: arn:aws:sts::<ACCT>:assumed-role/orders-api-role/orders-api is not authorized to perform: dynamodb:PutItem on resource: arn:aws:dynamodb:eu-west-1:<ACCT>:table/orders because no identity-based policy allows the dynamodb:PutItem action""}"
10,555,RequestId: <RID> Error: Runtime exited with error: signal: killed
11,555,Runtime.ExitError
12,475,REPORT RequestId: <RID> Duration: <FLOAT> ms Billed Duration: <*> ms Memory Size: 128 MB Max Memory Used: 128 MB Status: error Error Type: Runtime.ExitError
13,2879,"[ERROR] <TS> <RID> {""route"": <*> <*> ""status"": 500, ""latency_ms"": <FLOAT>, ""cold_start"": <*> ""error_type"": ""ResourceNotFoundException"", ""memory_mb"": 256, ""downstream_ms"": <FLOAT>, ""error"": ""An error occurred (ResourceNotFoundException) when calling the <*> operation: Requested resource not found""}"
14,41,REPORT RequestId: <RID> Duration: <FLOAT> ms Billed Duration: <INT> ms Memory Size: 256 MB Max Memory Used: <*> MB Init Duration: <FLOAT> ms Status: timeout
15,80,REPORT RequestId: <RID> Duration: <FLOAT> ms Billed Duration: <*> ms Memory Size: 128 MB Max Memory Used: 128 MB Init Duration: <FLOAT> ms Status: error Error Type: Runtime.ExitError
